Sum of revenue,,state,,,category_name,state,Sum of revenue,Sum of total_units,,city,state,product_name,category_name,Sum of revenue,,,city,state,product_name,category_name,Sum of revenue
Trek Powerfly 8 FS Plus - 2017,Electric Bikes,29999.94,169999.66,4999.99,Electric Bikes Total,,1020236.85,315,,,,Electra Townie Original 3i EQ - 2017/2018,Cruisers Bicycles,659.99,,,,,Electra Townie Original 21D - 2016 Total,,549.99
Trek Powerfly 8 FS Plus - 2017 Total,,29999.94,169999.66,4999.99,Cyclocross Bicycles,CA,179941.45,91,,,,Electra Townie Original 3i EQ - 2017/2018 Total,,659.99,,,,,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,499.99
Trek Madone 9.2 - 2017,Road Bikes,49999.9,114999.77,29999.94,,NY,551722.36,271,,,,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,599.99,,,,,Electra Townie Original 7D - 2015/2016 Total,,499.99
Trek Madone 9.2 - 2017 Total,,49999.9,114999.77,29999.94,,TX,68210.79,32,,,,,Cruisers Bicycles,1799.97,,,,,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,1199.98
Trek Silque SLR 8 Women's - 2017,Road Bikes,32499.95,129999.8,25999.96,Cyclocross Bicycles Total,,799874.6,394,,,,Electra Townie Original 7D EQ - 2016 Total,,2399.96,,,,,Electra Townie Original 7D EQ - Women's - 2016 Total,,1199.98
Trek Silque SLR 8 Women's - 2017 Total,,32499.95,129999.8,25999.96,Comfort Bicycles,CA,95533.29,171,,,,Haro Shift R3 - 2017,Mountain Bikes,1469.99,,,,,Haro SR 1.1 - 2017,Mountain Bikes,539.99
,,,,,,NY,294930.45,555,,,,Haro Shift R3 - 2017 Total,,1469.99,,,,,Haro SR 1.1 - 2017 Total,,539.99
,,,,,,TX,48043.13,87,,,,Haro SR 1.2 - 2017,Mountain Bikes,1739.98,,,,,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,1499.98
,,,,,Comfort Bicycles Total,,438506.87,813,,,,Haro SR 1.2 - 2017 Total,,1739.98,,,,,Ritchey Timberwolf Frameset - 2016 Total,,1499.98
,,,,,Children Bicycles,CA,68937.49,251,,,,Haro SR 1.3 - 2017,Mountain Bikes,1409.99,,,,,Sun Bicycles Atlas X-Type - 2017,Cruisers Bicycles,833.98
,,,,,,NY,227541.89,811,,,,Haro SR 1.3 - 2017 Total,,1409.99,,,,,Sun Bicycles Atlas X-Type - 2017 Total,,833.98
,,,,,,TX,31408.83,117,,,,Heller Shagamaw Frame - 2016,Mountain Bikes,5283.96,,,,,Sun Bicycles Cruz 3 - 2017,Comfort Bicycles,899.98
,,,,,Children Bicycles Total,,327888.21,1179,,,,Heller Shagamaw Frame - 2016 Total,,5283.96,,,,,Sun Bicycles Cruz 3 - 2017 Total,,899.98
,,,,,,,,,,,,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,429,,,,,Surly Ogre Frameset - 2017,Road Bikes,749.99
,,,,,,,,,,,,Pure Cycles Vine 8-Speed - 2016 Total,,429,,,,,Surly Ogre Frameset - 2017 Total,,749.99
,,,,,,,,,,,,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,2249.97,,,,,Surly Pack Rat - 2018,Road Bikes,2698
,,,,,,,,,,,,Ritchey Timberwolf Frameset - 2016 Total,,2249.97,,,,,Surly Pack Rat - 2018 Total,,2698
,,,,,,,,,,,,Sun Bicycles Brickell Tandem 7 - 2017,Cruisers Bicycles,749.99,,,,,Surly Straggler - 2016,Cyclocross Bicycles,3098
,,,,,,,,,,,,Sun Bicycles Brickell Tandem 7 - 2017 Total,,749.99,,,,,Surly Straggler - 2016 Total,,3098
,,,,,,,,,,,,Sun Bicycles Cruz 7 - Women's - 2017,Comfort Bicycles,833.98,,,,,Trek Domane ALR 4 Disc Women's - 2018,Road Bikes,3099.98
,,,,,,,,,,,,Sun Bicycles Cruz 7 - Women's - 2017 Total,,833.98,,,,,Trek Domane ALR 4 Disc Women's - 2018 Total,,3099.98
,,,,,,,,,,,,Sun Bicycles Streamway - 2017,Comfort Bicycles,1927.96,,,,,Trek Domane S 6 - 2017,Road Bikes,5399.98
,,,,,,,,,,,,Sun Bicycles Streamway - 2017 Total,,1927.96,,,,,Trek Domane S 6 - 2017 Total,,5399.98
,,,,,,,,,,,,Sun Bicycles Streamway 3 - 2017,Comfort Bicycles,1655.97,,,,,Trek Emonda SLR 6 - 2018,Road Bikes,4499.99
,,,,,,,,,,,,Sun Bicycles Streamway 3 - 2017 Total,,1655.97,,,,,Trek Emonda SLR 6 - 2018 Total,,4499.99
,,,,,,,,,,,,Surly Big Dummy Frameset - 2017,Mountain Bikes,1999.98,,,,,Trek Fuel EX 8 29 - 2016,Mountain Bikes,5799.98
,,,,,,,,,,,,Surly Big Dummy Frameset - 2017 Total,,1999.98,,,,,Trek Fuel EX 8 29 - 2016 Total,,5799.98
,,,,,,,,,,,,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,1409.97,,,,,Trek Fuel EX 9.8 27.5 Plus - 2017,Mountain Bikes,10599.98
,,,,,,,,,,,,Surly Ice Cream Truck Frameset - 2016 Total,,1409.97,,,,,Trek Fuel EX 9.8 27.5 Plus - 2017 Total,,10599.98
,,,,,,,,,,,,Surly Karate Monkey 27.5+ Frameset - 2017,Mountain Bikes,2499.99,,,,,Trek Precaliber 12 Boys - 2017,Children Bicycles,379.98
,,,,,,,,,,,,Surly Karate Monkey 27.5+ Frameset - 2017 Total,,2499.99,,,,,Trek Precaliber 12 Boys - 2017 Total,,379.98
,,,,,,,,,,,,Surly Straggler - 2016,Cyclocross Bicycles,3098,,,,,Trek Silque SLR 7 Women's - 2017,Road Bikes,5999.99
,,,,,,,,,,,,Surly Straggler - 2016 Total,,3098,,,,,Trek Silque SLR 7 Women's - 2017 Total,,5999.99
,,,,,,,,,,,,Surly Straggler 650b - 2016,Cyclocross Bicycles,1680.99,,,,,Trek Slash 8 27.5 - 2016,Mountain Bikes,11999.97
,,,,,,,,,,,,Surly Straggler 650b - 2016 Total,,1680.99,,,,,Trek Slash 8 27.5 - 2016 Total,,11999.97
,,,,,,,,,,,,Surly Wednesday Frameset - 2017,Mountain Bikes,939.98,,,,,Trek Stache 5 - 2018,Mountain Bikes,4799.97
,,,,,,,,,,,,Surly Wednesday Frameset - 2017 Total,,939.98,,,,,Trek Stache 5 - 2018 Total,,4799.97
,,,,,,,,,,,,Trek CrossRip 1 - 2018,Road Bikes,1919.98,,,,,Trek Super Commuter+ 7 - 2018,Electric Bikes,3599.99
,,,,,,,,,,,,Trek CrossRip 1 - 2018 Total,,1919.98,,,,,Trek Super Commuter+ 7 - 2018 Total,,3599.99
,,,,,,,,,,,,Trek Domane SLR 6 Disc - 2017,Road Bikes,16499.97,,,,,Trek Ticket S Frame - 2018,Mountain Bikes,1469.99
,,,,,,,,,,,,Trek Domane SLR 6 Disc - 2017 Total,,16499.97,,,,,Trek Ticket S Frame - 2018 Total,,1469.99
,,,,,,,,,,,,Trek Fuel EX 8 29 - 2016,Mountain Bikes,14499.95,,,,,Trek Verve+ - 2018,Electric Bikes,2299.99
,,,,,,,,,,,,Trek Fuel EX 8 29 - 2016 Total,,14499.95,,,,,Trek Verve+ - 2018 Total,,2299.99
,,,,,,,,,,,,Trek Fuel EX 9.8 29 - 2017,Mountain Bikes,4999.99,,,,,Trek X-Caliber 8 - 2017,Mountain Bikes,999.99
,,,,,,,,,,,,Trek Fuel EX 9.8 29 - 2017 Total,,4999.99,,,,,Trek X-Caliber 8 - 2017 Total,,999.99
,,,,,,,,,,,,Trek Madone 9.2 - 2017,Road Bikes,9999.98,,,,CA Total,,,82439.51
,,,,,,,,,,,,Trek Madone 9.2 - 2017 Total,,9999.98,,,Palos Verdes Peninsula Total,,,,82439.51
,,,,,,,,,,,,Trek Powerfly 5 Women's - 2018,Electric Bikes,6999.98,,,,,,,
,,,,,,,,,,,,Trek Powerfly 5 Women's - 2018 Total,,6999.98,,,,,,,
,,,,,,,,,,,,Trek Precaliber 12 Girls - 2017,Children Bicycles,189.99,,,,,,,
,,,,,,,,,,,,Trek Precaliber 12 Girls - 2017 Total,,189.99,,,,,,,
,,,,,,,,,,,,Trek Precaliber 16 Boys - 2017,Children Bicycles,419.98,,,,,,,
,,,,,,,,,,,,Trek Precaliber 16 Boys - 2017 Total,,419.98,,,,,,,
,,,,,,,,,,,,Trek Precaliber 16 Girls - 2017,Children Bicycles,209.99,,,,,,,
,,,,,,,,,,,,Trek Precaliber 16 Girls - 2017 Total,,209.99,,,,,,,
,,,,,,,,,,,,Trek Precaliber 16 Girl's - 2018,Children Bicycles,209.99,,,,,,,
,,,,,,,,,,,,Trek Precaliber 16 Girl's - 2018 Total,,209.99,,,,,,,
,,,,,,,,,,,,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,1799.99,,,,,,,
,,,,,,,,,,,,Trek Remedy 29 Carbon Frameset - 2016 Total,,1799.99,,,,,,,
,,,,,,,,,,,,Trek Slash 8 27.5 - 2016,Mountain Bikes,11999.97,,,,,,,
,,,,,,,,,,,,Trek Slash 8 27.5 - 2016 Total,,11999.97,,,,,,,
,,,,,,,,,,,TX Total,,,109729.26,,,,,,,
,,,,,,,,,,San Angelo Total,,,,109729.26,,,,,,,
,,,,,,,,,,Harlingen,TX,Electra Amsterdam Fashion 7i Ladies' - 2017,Cruisers Bicycles,1099.99,,,,,,,
,,,,,,,,,,,,Electra Amsterdam Fashion 7i Ladies' - 2017 Total,,1099.99,,,,,,,
,,,,,,,,,,,,Electra Amsterdam Original 3i Ladies' - 2017,Cruisers Bicycles,659.99,,,,,,,
,,,,,,,,,,,,Electra Amsterdam Original 3i Ladies' - 2017 Total,,659.99,,,,,,,
,,,,,,,,,,,,Electra Cruiser Lux 1 - 2017,Cruisers Bicycles,439.99,,,,,,,
,,,,,,,,,,,,Electra Cruiser Lux 1 - 2017 Total,,439.99,,,,,,,
,,,,,,,,,,,,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,299.99,,,,,,,
,,,,,,,,,,,,Electra Girl's Hawaii 1 (20-inch) - 2015/2016 Total,,299.99,,,,,,,
,,,,,,,,,,,,Electra Moto 1 - 2016,Cruisers Bicycles,1589.97,,,,,,,
,,,,,,,,,,,,Electra Moto 1 - 2016 Total,,1589.97,,,,,,,
,,,,,,,,,,,,Electra Townie Original 7D - 2017,Comfort Bicycles,1469.97,,,,,,,
,,,,,,,,,,,,,Cruisers Bicycles,979.98,,,,,,,
,,,,,,,,,,,,Electra Townie Original 7D - 2017 Total,,2449.95,,,,,,,
,,,,,,,,,,,,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,749.99,,,,,,,
,,,,,,,,,,,,Ritchey Timberwolf Frameset - 2016 Total,,749.99,,,,,,,
,,,,,,,,,,,,Sun Bicycles Biscayne Tandem CB - 2017,Cruisers Bicycles,1943.97,,,,,,,
,,,,,,,,,,,,Sun Bicycles Biscayne Tandem CB - 2017 Total,,1943.97,,,,,,,
,,,,,,,,,,,,Sun Bicycles ElectroLite - 2017,Electric Bikes,1559.99,,,,,,,
,,,,,,,,,,,,Sun Bicycles ElectroLite - 2017 Total,,1559.99,,,,,,,
,,,,,,,,,,,,Sun Bicycles Lil Bolt Type-R - 2017,Cruisers Bicycles,693.98,,,,,,,
,,,,,,,,,,,,Sun Bicycles Lil Bolt Type-R - 2017 Total,,693.98,,,,,,,
,,,,,,,,,,,,Sun Bicycles Revolutions 24 - Girl's - 2017,Cruisers Bicycles,501.98,,,,,,,
,,,,,,,,,,,,Sun Bicycles Revolutions 24 - Girl's - 2017 Total,,501.98,,,,,,,
,,,,,,,,,,,,Surly Straggler 650b - 2016,Cyclocross Bicycles,3361.98,,,,,,,
,,,,,,,,,,,,Surly Straggler 650b - 2016 Total,,3361.98,,,,,,,
,,,,,,,,,,,,Surly Wednesday - 2017,Mountain Bikes,1632.99,,,,,,,
,,,,,,,,,,,,Surly Wednesday - 2017 Total,,1632.99,,,,,,,
,,,,,,,,,,,,Surly Wednesday Frameset - 2016,Mountain Bikes,1999.98,,,,,,,
,,,,,,,,,,,,Surly Wednesday Frameset - 2016 Total,,1999.98,,,,,,,
,,,,,,,,,,,,Trek Boone 7 - 2017,Cyclocross Bicycles,6999.98,,,,,,,
,,,,,,,,,,,,Trek Boone 7 - 2017 Total,,6999.98,,,,,,,
,,,,,,,,,,,,Trek Conduit+ - 2016,Electric Bikes,11999.96,,,,,,,
,,,,,,,,,,,,Trek Conduit+ - 2016 Total,,11999.96,,,,,,,
,,,,,,,,,,,,Trek Domane SLR 6 Disc - 2017,Road Bikes,21999.96,,,,,,,
,,,,,,,,,,,,Trek Domane SLR 6 Disc - 2017 Total,,21999.96,,,,,,,
,,,,,,,,,,,,Trek Girl's Kickster - 2017,Children Bicycles,299.98,,,,,,,
,,,,,,,,,,,,Trek Girl's Kickster - 2017 Total,,299.98,,,,,,,
,,,,,,,,,,,,Trek Silque SLR 7 Women's - 2017,Road Bikes,11999.98,,,,,,,
,,,,,,,,,,,,Trek Silque SLR 7 Women's - 2017 Total,,11999.98,,,,,,,
,,,,,,,,,,,,Trek Silque SLR 8 Women's - 2017,Road Bikes,12999.98,,,,,,,
,,,,,,,,,,,,Trek Silque SLR 8 Women's - 2017 Total,,12999.98,,,,,,,
,,,,,,,,,,,TX Total,,,85284.58,,,,,,,
,,,,,,,,,,Harlingen Total,,,,85284.58,,,,,,,
